microcosm_id,Treatment,composition,rep,Temp,Env,competition,stab.comm,stab.pop,asyn,compensatory,statistical,evenness
CS_PT_22C_1,CS_PT_22C,CS_PT,1,22,constant,1,7.0715,6.5333,1.0824,1.0173,1.064,0.0572
CS_PT_22C_2,CS_PT_22C,CS_PT,2,22,constant,1,6.8997,6.2241,1.1085,1.0312,1.075,0.0675
CS_PT_22C_3,CS_PT_22C,CS_PT,3,22,constant,1,9.4505,8.71,1.085,1.0102,1.0741,0.0693
CS_PT_22F_1,CS_PT_22F,CS_PT,1,22,fluctuate,1,3.0664,2.9565,1.0372,0.9989,1.0383,0.0461
CS_PT_22F_2,CS_PT_22F,CS_PT,2,22,fluctuate,1,3.1851,3.0539,1.0429,0.9928,1.0504,0.0711
CS_PT_22F_3,CS_PT_22F,CS_PT,3,22,fluctuate,1,2.7881,2.6894,1.0367,0.9948,1.0422,0.0568
CS_PT_26C_1,CS_PT_26C,CS_PT,1,26,constant,1,2.2021,2.179,1.0106,0.9459,1.0684,0.1989
CS_PT_26C_2,CS_PT_26C,CS_PT,2,26,constant,1,2.166,2.1552,1.005,0.9349,1.0751,0.2258
CS_PT_26C_3,CS_PT_26C,CS_PT,3,26,constant,1,2.4417,2.4179,1.0098,0.9344,1.0808,0.1956
CS_PT_26F_1,CS_PT_26F,CS_PT,1,26,fluctuate,1,1.8359,1.8118,1.0133,0.9619,1.0534,0.1656
CS_PT_26F_2,CS_PT_26F,CS_PT,2,26,fluctuate,1,1.6079,1.5923,1.0098,0.9632,1.0484,0.1794
CS_PT_26F_3,CS_PT_26F,CS_PT,3,26,fluctuate,1,1.8636,1.8268,1.0201,0.9612,1.0613,0.1789
CS_TP_22C_1,CS_TP_22C,CS_TP,1,22,constant,1,8.1112,7.6875,1.0551,1.0248,1.0296,0.0618
CS_TP_22C_2,CS_TP_22C,CS_TP,2,22,constant,1,9.2088,8.7233,1.0557,1.0241,1.0308,0.0658
CS_TP_22C_3,CS_TP_22C,CS_TP,3,22,constant,1,10.7315,10.2667,1.0453,1.0146,1.0302,0.0547
CS_TP_22F_1,CS_TP_22F,CS_TP,1,22,fluctuate,1,3.1185,3.1114,1.0023,0.9968,1.0055,0.0387
CS_TP_22F_2,CS_TP_22F,CS_TP,2,22,fluctuate,1,3.1669,3.1265,1.0129,1.0019,1.011,0.0651
CS_TP_22F_3,CS_TP_22F,CS_TP,3,22,fluctuate,1,3.9271,3.9024,1.0063,0.9971,1.0093,0.0378
CS_TP_26C_1,CS_TP_26C,CS_TP,1,26,constant,1,2.8776,2.8734,1.0015,0.9989,1.0026,0.012
CS_TP_26C_2,CS_TP_26C,CS_TP,2,26,constant,1,2.7719,2.7675,1.0016,0.9993,1.0023,0.018
CS_TP_26C_3,CS_TP_26C,CS_TP,3,26,constant,1,2.7291,2.7272,1.0007,0.9992,1.0016,0.0129
CS_TP_26F_1,CS_TP_26F,CS_TP,1,26,fluctuate,1,1.3218,1.3207,1.0009,0.9999,1.001,0.0117
CS_TP_26F_2,CS_TP_26F,CS_TP,2,26,fluctuate,1,1.2998,1.2989,1.0007,1.0001,1.0006,0.0055
CS_TP_26F_3,CS_TP_26F,CS_TP,3,26,fluctuate,1,1.4025,1.4008,1.0012,0.9999,1.0013,0.0143
